Horizon,Weight,Mean H-L (%),t-statistic,p-value,Significance,N Events
1 day(s),EW,0.1,1.79,0.08,*,216
,VW,-0.02,-0.27,0.78,,216
3 day(s),EW,0.24,3.47,0.0,***,216
,VW,-0.03,-0.38,0.7,,216
10 day(s),EW,0.63,5.83,0.0,***,215
,VW,0.03,0.22,0.82,,215
